date,BABAHOYO,DURÁN,ESMERALDAS,GUAYAQUIL,HUAQUILLAS,MACHALA,MANTA,NARANJAL,PASAJE,PEDERNALES,PORTOVIEJO,PUEBLOVIEJO,QUEVEDO,QUININDÉ,SAN LORENZO
2014-01-01,19,20,48,242,12,27,31,16,10,15,11,4,53,22,32
2015-01-01,11,13,34,221,7,23,22,15,7,6,11,5,19,16,19
2016-01-01,14,13,28,195,7,22,13,9,11,13,11,5,21,13,11
2017-01-01,12,11,20,180,8,25,20,15,12,8,23,5,15,12,12
2018-01-01,27,27,28,168,14,16,22,6,7,6,12,6,19,15,10
2019-01-01,17,28,24,269,17,31,13,8,10,4,23,14,27,11,18
2020-01-01,21,49,34,329,16,42,30,25,9,14,12,13,38,13,12
2021-01-01,51,75,84,865,22,66,43,40,22,21,27,19,74,17,20
2022-01-01,52,121,383,1445,47,131,90,40,39,70,96,33,177,43,54
2023-01-01,172,461,315,2382,113,243,262,143,76,116,260,121,279,65,30
2024-01-01,246,478,194,1967,62,244,266,140,99,28,257,95,106,27,25
