date,BABAHOYO,DURAN,ESMERALDAS,GUAYAQUIL,HUAQUILLAS,MACHALA,MANTA,NARANJAL,PASAJE,PEDERNALES,PORTOVIEJO,PUEBLOVIEJO,QUEVEDO,QUININDE,SAN LORENZO
2014-01-01,3,1,5,29,3,4,5,5,1,0,0,0,14,2,10
2014-02-01,2,2,2,18,0,2,0,1,0,1,1,1,1,2,2
2014-03-01,2,1,7,27,0,4,3,0,1,1,2,3,6,4,0
2014-04-01,0,0,3,17,0,5,0,1,2,1,1,0,5,1,2
2014-05-01,1,1,4,20,2,0,1,1,1,2,1,0,6,4,1
2014-06-01,1,4,2,22,1,2,0,3,1,1,1,0,3,4,2
2014-07-01,1,0,3,9,0,2,4,1,2,2,1,0,6,1,4
2014-08-01,1,3,5,21,0,1,6,0,0,1,1,0,2,3,0
2014-09-01,3,2,3,17,2,2,1,1,2,1,2,0,3,0,3
2014-10-01,1,1,4,17,1,0,3,0,0,0,0,0,2,0,1
2014-11-01,3,3,4,19,1,2,4,3,0,2,0,0,1,0,6
2014-12-01,1,2,6,26,2,3,4,0,0,3,1,0,4,1,1
2015-01-01,2,0,5,12,0,0,5,1,0,0,1,0,2,0,3
2015-02-01,1,1,2,13,1,2,0,1,1,0,0,0,1,1,0
2015-03-01,0,0,4,27,1,3,1,1,2,1,1,0,0,1,3
2015-04-01,0,1,5,18,0,2,3,4,0,1,2,1,5,0,1
2015-05-01,0,1,2,27,0,3,0,0,1,1,0,2,4,3,2
2015-06-01,3,1,2,21,2,4,4,2,1,0,3,0,1,3,1
2015-07-01,0,1,2,22,0,0,1,0,1,0,1,0,0,0,1
2015-08-01,0,0,4,17,1,1,4,0,1,0,0,0,3,1,4
2015-09-01,1,4,0,14,1,1,1,1,0,2,0,0,1,3,0
2015-10-01,1,1,2,17,0,4,1,2,0,1,0,1,0,4,3
2015-11-01,0,2,4,16,0,2,1,1,0,0,2,0,1,0,0
2015-12-01,3,1,2,17,1,1,1,2,0,0,1,1,1,0,1
2016-01-01,3,0,4,25,0,2,0,0,0,1,0,0,4,0,0
2016-02-01,1,3,5,10,1,3,0,0,2,2,1,0,3,1,0
