date,24 DE MAYO,AGUARICO,ALAUSÍ,ALFREDO BAQUERIZO MORENO (JUJÁN),AMBATO,ANTONIO ANTE,ARAJUNO,ARCHIDONA,ARENILLAS,ATACAMES,ATAHUALPA,AZOGUES,BABA,BABAHOYO,BALAO,BALSAS,BALZAR,BAÑOS DE AGUA SANTA,BIBLIÁN,BOLÍVAR,BUENA FE,CALUMA,CALVAS,CAMILO PONCE ENRÍQUEZ,CARLOS JULIO AROSEMENA TOLA,CASCALES,CATAMAYO,CAYAMBE,CAÑAR,CELICA,CENTINELA DEL CÓNDOR,CEVALLOS,CHAGUARPAMBA,CHAMBO,CHILLA,CHILLANES,CHIMBO,CHINCHIPE,CHONE,CHORDELEG,CHUNCHI,COLIMES,COLTA,CORONEL MARCELINO MARIDUEÑA,COTACACHI,CUENCA,CUMANDÁ,CUYABENO,DAULE,DURÁN,DÉLEG,ECHEANDÍA,EL CARMEN,EL CHACO,EL EMPALME,EL GUABO,EL PAN,EL PANGUI,EL TAMBO,EL TRIUNFO,ELOY ALFARO,ESMERALDAS,ESPEJO,ESPÍNDOLA,FLAVIO ALFARO,FRANCISCO DE ORELLANA,GENERAL ANTONIO ELIZALDE,GIRÓN,GONZALO PIZARRO,GONZANAMÁ,GUACHAPALA,GUALACEO,GUALAQUIZA,GUAMOTE,GUANO,GUARANDA,GUAYAQUIL,HUAMBOYA,HUAQUILLAS,IBARRA,ISIDRO AYORA,JAMA,JARAMIJÓ,JIPIJAPA,JUNÍN,LA CONCORDIA,LA JOYA DE LOS SACHAS,LA LIBERTAD,LA MANÁ,LA TRONCAL,LAGO AGRIO,LAS LAJAS,LAS NAVES,LATACUNGA,LIMÓN INDANZA,LOGROÑO,LOJA,LOMAS DE SARGENTILLO,LORETO,MACARÁ,MACHALA,MANTA,MEJÍA,MERA,MILAGRO,MIRA,MOCACHE,MOCHA,MONTALVO,MONTECRISTI,MONTÚFAR,MORONA,MUISNE,NABÓN,NANGARITZA,NARANJAL,NARANJITO,NOBOL,OLMEDO,OTAVALO,PABLO SEXTO,PAJÁN,PALANDA,PALENQUE,PALESTINA,PALLATANGA,PALORA,PALTAS,PANGUA,PAQUISHA,PASAJE,PASTAZA,PATATE,PAUTE,PEDERNALES,PEDRO CARBO,PEDRO MONCAYO,PEDRO VICENTE MALDONADO,PENIPE,PICHINCHA,PIMAMPIRO,PINDAL,PIÑAS,PLAYAS,PORTOVELO,PORTOVIEJO,PUCARÁ,PUEBLOVIEJO,PUERTO LÓPEZ,PUERTO QUITO,PUJILÍ,PUTUMAYO,PUYANGO,QUERO,QUEVEDO,QUIJOS,QUILANGA,QUININDÉ,QUINSALOMA,QUITO,RIOBAMBA,RIOVERDE,ROCAFUERTE,RUMIÑAHUI,SALCEDO,SALINAS,SALITRE,SAMBORONDÓN,SAN FERNANDO,SAN JACINTO DE YAGUACHI,SAN JUAN BOSCO,SAN LORENZO,SAN MIGUEL,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE URCUQUÍ,SAN PEDRO DE HUACA,SAN PEDRO DE PELILEO,SAN VICENTE,SANTA ANA,SANTA CLARA,SANTA CRUZ,SANTA ELENA,SANTA ISABEL,SANTA LUCÍA,SANTA ROSA,SANTIAGO,SANTIAGO DE PÍLLARO,SANTO DOMINGO,SAQUISILÍ,SARAGURO,SEVILLA DE ORO,SHUSHUFINDI,SIGCHOS,SIMÓN BOLÍVAR,SOZORANGA,SUCRE,SUCUMBÍOS,SUCÚA,SUSCAL,SÍGSIG,TAISHA,TENA,TISALEO,TIWINTZA,TOSAGUA,TULCÁN,URDANETA,VALENCIA,VENTANAS,VINCES,YANTZAZA,ZAMORA,ZAPOTILLO,ZARUMA
2014-01-01,1.0,0.0,2.0,2.0,8.0,0.0,2.0,1.0,8.0,5.0,0.0,0.0,8.0,19.0,3.0,2.0,4.0,0.0,2.0,4.0,11.0,2.0,1.0,7.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,1.0,0.0,2.0,5.0,26.0,0.0,1.0,7.0,20.0,2.0,0.0,6.0,0.0,10.0,9.0,0.0,2.0,0.0,18.0,9.0,48.0,0.0,0.0,1.0,10.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,242.0,0.0,12.0,9.0,3.0,2.0,1.0,0.0,0.0,7.0,12.0,4.0,5.0,15.0,31.0,1.0,0.0,6.0,2.0,0.0,6.0,1.0,1.0,5.0,27.0,31.0,6.0,1.0,6.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,16.0,4.0,2.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,15.0,5.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,11.0,0.0,4.0,1.0,2.0,0.0,6.0,0.0,0.0,53.0,3.0,1.0,22.0,1.0,145.0,10.0,12.0,0.0,4.0,3.0,3.0,8.0,6.0,0.0,5.0,0.0,32.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,2.0,3.0,7.0,1.0,1.0,46.0,0.0,0.0,1.0,5.0,2.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,6.0,6.0,8.0,6.0,18.0,0.0,1.0,0.0,0.0
2015-01-01,2.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,11.0,1.0,0.0,3.0,1.0,1.0,4.0,12.0,0.0,0.0,12.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,2.0,15.0,1.0,0.0,5.0,13.0,0.0,0.0,12.0,0.0,9.0,13.0,0.0,0.0,0.0,26.0,9.0,34.0,2.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,221.0,0.0,7.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,7.0,6.0,8.0,23.0,0.0,1.0,5.0,0.0,0.0,7.0,0.0,2.0,2.0,23.0,22.0,5.0,1.0,2.0,0.0,2.0,0.0,4.0,7.0,0.0,2.0,3.0,0.0,0.0,15.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,6.0,2.0,2.0,2.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,11.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,19.0,1.0,0.0,16.0,1.0,124.0,6.0,9.0,2.0,1.0,5.0,4.0,1.0,3.0,0.0,6.0,0.0,19.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0,5.0,1.0,3.0,28.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,6.0,4.0,2.0,5.0,10.0,0.0,2.0,0.0,2.0
2016-01-01,1.0,1.0,2.0,3.0,9.0,0.0,0.0,1.0,1.0,8.0,1.0,4.0,3.0,14.0,1.0,0.0,5.0,4.0,1.0,5.0,4.0,2.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,1.0,2.0,5.0,13.0,0.0,2.0,14.0,0.0,6.0,9.0,0.0,0.0,0.0,16.0,4.0,28.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,195.0,0.0,7.0,9.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,4.0,3.0,1.0,17.0,0.0,0.0,9.0,1.0,1.0,6.0,1.0,1.0,1.0,22.0,13.0,6.0,0.0,9.0,0.0,3.0,0.0,2.0,6.0,4.0,2.0,1.0,1.0,1.0,9.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,11.0,2.0,0.0,1.0,13.0,4.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,2.0,0.0,11.0,0.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,21.0,0.0,0.0,13.0,1.0,112.0,3.0,9.0,0.0,4.0,5.0,9.0,7.0,4.0,0.0,4.0,0.0,11.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,3.0,21.0,0.0,2.0,0.0,7.0,1.0,3.0,1.0,4.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,5.0,0.0,0.0,0.0,2.0
2017-01-01,3.0,0.0,0.0,3.0,11.0,0.0,1.0,1.0,1.0,3.0,0.0,4.0,6.0,12.0,3.0,0.0,3.0,1.0,0.0,2.0,6.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,2.0,2.0,0.0,3.0,31.0,0.0,1.0,13.0,11.0,1.0,1.0,18.0,1.0,4.0,6.0,0.0,1.0,0.0,12.0,3.0,20.0,0.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,180.0,0.0,8.0,10.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,5.0,4.0,8.0,26.0,1.0,0.0,11.0,0.0,0.0,5.0,3.0,5.0,1.0,25.0,20.0,2.0,0.0,10.0,2.0,7.0,0.0,1.0,6.0,0.0,1.0,4.0,2.0,0.0,15.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,4.0,2.0,12.0,1.0,0.0,0.0,8.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,1.0,5.0,1.0,3.0,0.0,4.0,2.0,0.0,15.0,0.0,1.0,12.0,0.0,110.0,6.0,9.0,1.0,4.0,2.0,4.0,1.0,3.0,0.0,10.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,25.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,11.0,7.0,2.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,1.0,1.0,7.0,3.0,0.0,1.0,3.0,8.0,0.0,1.0,2.0,27.0,3.0,0.0,6.0,1.0,0.0,1.0,9.0,4.0,1.0,8.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,16.0,1.0,0.0,8.0,27.0,0.0,2.0,14.0,0.0,9.0,8.0,1.0,0.0,0.0,11.0,5.0,28.0,1.0,0.0,0.0,13.0,0.0,2.0,0.0,2.0,0.0,5.0,1.0,2.0,1.0,5.0,168.0,0.0,14.0,8.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,2.0,9.0,18.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,4.0,0.0,16.0,22.0,3.0,1.0,10.0,0.0,4.0,0.0,1.0,5.0,4.0,4.0,5.0,1.0,1.0,6.0,4.0,1.0,0.0,6.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,7.0,4.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,12.0,2.0,6.0,2.0,1.0,1.0,6.0,0.0,0.0,19.0,1.0,0.0,15.0,1.0,125.0,6.0,8.0,1.0,2.0,1.0,3.0,3.0,6.0,0.0,8.0,0.0,10.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,5.0,0.0,2.0,31.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,8.0,5.0,5.0,2.0,2.0,0.0,0.0
2019-01-01,4.0,0.0,1.0,2.0,14.0,2.0,1.0,0.0,5.0,6.0,0.0,0.0,5.0,17.0,3.0,0.0,4.0,1.0,0.0,3.0,11.0,1.0,1.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,0.0,0.0,2.0,2.0,2.0,2.0,16.0,0.0,1.0,10.0,28.0,0.0,3.0,19.0,0.0,9.0,13.0,0.0,0.0,2.0,14.0,4.0,24.0,2.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,269.0,0.0,17.0,11.0,3.0,1.0,4.0,2.0,0.0,3.0,4.0,1.0,2.0,11.0,22.0,0.0,0.0,20.0,0.0,1.0,4.0,1.0,1.0,1.0,31.0,13.0,3.0,1.0,25.0,0.0,2.0,0.0,1.0,7.0,0.0,5.0,3.0,1.0,0.0,8.0,4.0,1.0,3.0,3.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,7.0,0.0,0.0,4.0,5.0,3.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,23.0,0.0,14.0,0.0,3.0,0.0,3.0,0.0,0.0,27.0,0.0,0.0,11.0,2.0,135.0,9.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,6.0,0.0,18.0,1.0,3.0,6.0,0.0,2.0,3.0,2.0,0.0,0.0,5.0,2.0,3.0,5.0,0.0,0.0,25.0,0.0,2.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,7.0,9.0,8.0,1.0,0.0,0.0,2.0
2020-01-01,0.0,0.0,2.0,1.0,15.0,3.0,0.0,1.0,6.0,7.0,0.0,0.0,3.0,21.0,7.0,0.0,7.0,0.0,1.0,5.0,8.0,2.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,2.0,1.0,1.0,2.0,23.0,1.0,3.0,14.0,49.0,0.0,0.0,12.0,0.0,20.0,7.0,1.0,0.0,1.0,8.0,7.0,34.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,329.0,1.0,16.0,8.0,1.0,1.0,1.0,4.0,0.0,6.0,4.0,4.0,3.0,24.0,16.0,0.0,0.0,17.0,0.0,0.0,6.0,3.0,0.0,1.0,42.0,30.0,2.0,1.0,29.0,2.0,1.0,0.0,0.0,9.0,1.0,4.0,3.0,0.0,0.0,25.0,1.0,4.0,3.0,8.0,0.0,3.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,14.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,4.0,12.0,0.0,13.0,0.0,1.0,3.0,3.0,1.0,0.0,38.0,0.0,0.0,13.0,2.0,144.0,8.0,4.0,0.0,4.0,4.0,6.0,0.0,6.0,0.0,6.0,0.0,12.0,3.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,5.0,2.0,2.0,10.0,0.0,2.0,30.0,1.0,0.0,1.0,8.0,0.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,11.0,6.0,0.0,1.0,1.0,0.0
2021-01-01,3.0,0.0,0.0,4.0,16.0,2.0,0.0,1.0,5.0,18.0,0.0,5.0,5.0,51.0,8.0,2.0,13.0,1.0,0.0,7.0,7.0,0.0,0.0,7.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,23.0,0.0,1.0,2.0,0.0,3.0,4.0,48.0,2.0,0.0,29.0,75.0,0.0,0.0,21.0,0.0,27.0,17.0,0.0,1.0,0.0,20.0,4.0,84.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,865.0,0.0,22.0,11.0,2.0,1.0,4.0,2.0,0.0,5.0,1.0,21.0,3.0,61.0,28.0,1.0,0.0,38.0,0.0,0.0,4.0,2.0,2.0,0.0,66.0,43.0,6.0,0.0,49.0,2.0,8.0,1.0,2.0,6.0,0.0,4.0,4.0,1.0,3.0,40.0,5.0,2.0,5.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,22.0,7.0,0.0,1.0,21.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,27.0,0.0,19.0,4.0,4.0,2.0,2.0,0.0,0.0,74.0,1.0,0.0,17.0,3.0,142.0,8.0,4.0,1.0,1.0,1.0,6.0,3.0,10.0,0.0,15.0,0.0,20.0,0.0,1.0,1.0,0.0,2.0,1.0,10.0,1.0,0.0,19.0,1.0,5.0,4.0,0.0,1.0,66.0,2.0,1.0,0.0,6.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,7.0,0.0,15.0,6.0,0.0,2.0,0.0,3.0
2022-01-01,3.0,0.0,0.0,11.0,37.0,1.0,1.0,4.0,19.0,15.0,0.0,10.0,11.0,52.0,9.0,0.0,61.0,3.0,2.0,32.0,33.0,2.0,1.0,23.0,1.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,0.0,0.0,10.0,0.0,1.0,6.0,47.0,4.0,1.0,46.0,121.0,1.0,0.0,34.0,0.0,44.0,27.0,0.0,0.0,0.0,37.0,13.0,383.0,0.0,0.0,5.0,17.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,1445.0,0.0,47.0,8.0,3.0,3.0,6.0,8.0,9.0,15.0,7.0,60.0,6.0,110.0,60.0,0.0,0.0,21.0,2.0,0.0,17.0,1.0,0.0,1.0,131.0,90.0,3.0,1.0,101.0,0.0,11.0,0.0,2.0,25.0,5.0,4.0,3.0,1.0,0.0,40.0,12.0,7.0,6.0,1.0,0.0,9.0,0.0,3.0,12.0,0.0,1.0,0.0,2.0,0.0,39.0,6.0,0.0,1.0,70.0,9.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,10.0,5.0,96.0,1.0,33.0,11.0,6.0,0.0,7.0,0.0,1.0,177.0,0.0,0.0,43.0,15.0,204.0,10.0,17.0,1.0,4.0,2.0,35.0,8.0,19.0,0.0,43.0,0.0,54.0,2.0,0.0,0.0,0.0,1.0,9.0,7.0,0.0,0.0,23.0,0.0,1.0,24.0,0.0,1.0,199.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,9.0,6.0,10.0,8.0,37.0,26.0,2.0,1.0,2.0,0.0
2023-01-01,7.0,0.0,1.0,24.0,20.0,2.0,0.0,2.0,44.0,38.0,1.0,11.0,34.0,172.0,44.0,0.0,45.0,4.0,1.0,11.0,92.0,2.0,0.0,28.0,0.0,8.0,6.0,8.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,24.0,0.0,0.0,8.0,0.0,7.0,4.0,24.0,7.0,1.0,135.0,461.0,0.0,0.0,41.0,0.0,27.0,38.0,0.0,2.0,1.0,42.0,12.0,315.0,0.0,0.0,3.0,23.0,5.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,6.0,2382.0,1.0,113.0,19.0,3.0,4.0,15.0,13.0,4.0,42.0,28.0,131.0,7.0,97.0,70.0,1.0,6.0,13.0,2.0,0.0,21.0,9.0,7.0,3.0,243.0,262.0,4.0,4.0,153.0,0.0,42.0,0.0,9.0,49.0,0.0,13.0,7.0,0.0,0.0,143.0,35.0,21.0,4.0,6.0,1.0,18.0,0.0,17.0,16.0,1.0,4.0,0.0,4.0,5.0,76.0,26.0,0.0,0.0,116.0,31.0,4.0,2.0,0.0,2.0,0.0,1.0,2.0,80.0,2.0,260.0,2.0,121.0,27.0,1.0,3.0,0.0,0.0,0.0,279.0,0.0,0.0,65.0,17.0,294.0,14.0,11.0,12.0,12.0,8.0,56.0,16.0,37.0,0.0,98.0,1.0,30.0,5.0,1.0,1.0,0.0,3.0,24.0,14.0,0.0,0.0,66.0,1.0,11.0,48.0,1.0,4.0,118.0,2.0,1.0,0.0,21.0,0.0,12.0,0.0,45.0,0.0,6.0,0.0,2.0,3.0,13.0,1.0,0.0,31.0,13.0,41.0,46.0,91.0,49.0,3.0,0.0,2.0,0.0
