date,BABAHOYO,BUENA FE,DAULE,DURÁN,ESMERALDAS,GUAYAQUIL,HUAQUILLAS,LA LIBERTAD,LA TRONCAL,LAGO AGRIO,MACHALA,MANTA,MILAGRO,NARANJAL,PASAJE,PORTOVIEJO,PUEBLOVIEJO,QUEVEDO,QUITO,SANTO DOMINGO
2014-01-01,19.0,11.0,7.0,20.0,48.0,242.0,12.0,4.0,15.0,31.0,27.0,31.0,6.0,16.0,10.0,11.0,4.0,53.0,145.0,46.0
2015-01-01,11.0,12.0,5.0,13.0,34.0,221.0,7.0,7.0,8.0,23.0,23.0,22.0,2.0,15.0,7.0,11.0,5.0,19.0,124.0,28.0
2016-01-01,14.0,4.0,5.0,13.0,28.0,195.0,7.0,4.0,1.0,17.0,22.0,13.0,9.0,9.0,11.0,11.0,5.0,21.0,112.0,21.0
2017-01-01,12.0,6.0,13.0,11.0,20.0,180.0,8.0,5.0,8.0,26.0,25.0,20.0,10.0,15.0,12.0,23.0,5.0,15.0,110.0,25.0
2018-01-01,27.0,9.0,8.0,27.0,28.0,168.0,14.0,2.0,9.0,18.0,16.0,22.0,10.0,6.0,7.0,12.0,6.0,19.0,125.0,31.0
2019-01-01,17.0,11.0,10.0,28.0,24.0,269.0,17.0,1.0,11.0,22.0,31.0,13.0,25.0,8.0,10.0,23.0,14.0,27.0,135.0,25.0
2020-01-01,21.0,8.0,14.0,49.0,34.0,329.0,16.0,4.0,24.0,16.0,42.0,30.0,29.0,25.0,9.0,12.0,13.0,38.0,144.0,30.0
2021-01-01,51.0,7.0,29.0,75.0,84.0,865.0,22.0,21.0,61.0,28.0,66.0,43.0,49.0,40.0,22.0,27.0,19.0,74.0,142.0,66.0
2022-01-01,52.0,33.0,46.0,121.0,383.0,1445.0,47.0,60.0,110.0,60.0,131.0,90.0,101.0,40.0,39.0,96.0,33.0,177.0,204.0,199.0
2023-01-01,172.0,92.0,135.0,461.0,315.0,2382.0,113.0,131.0,97.0,70.0,243.0,262.0,153.0,143.0,76.0,260.0,121.0,279.0,294.0,118.0
2024-01-01,246.0,95.0,91.0,478.0,194.0,1967.0,62.0,106.0,97.0,85.0,244.0,266.0,44.0,140.0,99.0,257.0,95.0,106.0,249.0,53.0
2025-01-01,297.0,173.0,109.0,539.0,258.0,2545.0,87.0,80.0,77.0,48.0,404.0,399.0,49.0,142.0,83.0,340.0,165.0,164.0,268.0,143.0
