date,DURÁN,ESMERALDAS,GUAYAQUIL,MACHALA,MANTA
2014-01-01,20.0,48.0,242.0,27.0,31.0
2015-01-01,13.0,34.0,221.0,23.0,22.0
2016-01-01,13.0,28.0,195.0,22.0,13.0
2017-01-01,11.0,20.0,180.0,25.0,20.0
2018-01-01,27.0,28.0,168.0,16.0,22.0
2019-01-01,28.0,24.0,269.0,31.0,13.0
2020-01-01,49.0,34.0,329.0,42.0,30.0
2021-01-01,75.0,84.0,865.0,66.0,43.0
2022-01-01,121.0,383.0,1445.0,131.0,90.0
2023-01-01,461.0,315.0,2382.0,243.0,262.0
2024-01-01,478.0,194.0,1967.0,244.0,266.0
2025-01-01,539.0,258.0,2545.0,404.0,399.0
