date,24 DE MAYO,AGUARICO,ALAUSÍ,ALFREDO BAQUERIZO MORENO (JUJÁN),AMBATO,ANTONIO ANTE,ARAJUNO,ARCHIDONA,ARENILLAS,ATACAMES,ATAHUALPA,AZOGUES,BABA,BABAHOYO,BALAO,BALSAS,BALZAR,BAÑOS DE AGUA SANTA,BIBLIÁN,BOLÍVAR,BUENA FE,CALUMA,CALVAS,CAMILO PONCE ENRÍQUEZ,CARLOS JULIO AROSEMENA TOLA,CASCALES,CATAMAYO,CAYAMBE,CAÑAR,CELICA,CENTINELA DEL CÓNDOR,CEVALLOS,CHAGUARPAMBA,CHAMBO,CHILLA,CHILLANES,CHIMBO,CHINCHIPE,CHONE,CHORDELEG,CHUNCHI,COLIMES,COLTA,CORONEL MARCELINO MARIDUEÑA,COTACACHI,CUENCA,CUMANDÁ,CUYABENO,DAULE,DURÁN,DÉLEG,ECHEANDÍA,EL CARMEN,EL CHACO,EL EMPALME,EL GUABO,EL PAN,EL PANGUI,EL TAMBO,EL TRIUNFO,ELOY ALFARO,ESMERALDAS,ESPEJO,ESPÍNDOLA,FLAVIO ALFARO,FRANCISCO DE ORELLANA,GENERAL ANTONIO ELIZALDE,GIRÓN,GONZALO PIZARRO,GONZANAMÁ,GUACHAPALA,GUALACEO,GUALAQUIZA,GUAMOTE,GUANO,GUARANDA,GUAYAQUIL,HUAMBOYA,HUAQUILLAS,IBARRA,ISIDRO AYORA,JAMA,JARAMIJÓ,JIPIJAPA,JUNÍN,LA CONCORDIA,LA JOYA DE LOS SACHAS,LA LIBERTAD,LA MANÁ,LA TRONCAL,LAGO AGRIO,LAS LAJAS,LAS NAVES,LATACUNGA,LIMÓN INDANZA,LOGROÑO,LOJA,LOMAS DE SARGENTILLO,LORETO,MACARÁ,MACHALA,MANTA,MEJÍA,MERA,MILAGRO,MIRA,MOCACHE,MOCHA,MONTALVO,MONTECRISTI,MONTÚFAR,MORONA,MUISNE,NABÓN,NANGARITZA,NARANJAL,NARANJITO,NOBOL,OLMEDO,OTAVALO,PABLO SEXTO,PAJÁN,PALANDA,PALENQUE,PALESTINA,PALLATANGA,PALORA,PALTAS,PANGUA,PAQUISHA,PASAJE,PASTAZA,PATATE,PAUTE,PEDERNALES,PEDRO CARBO,PEDRO MONCAYO,PEDRO VICENTE MALDONADO,PENIPE,PICHINCHA,PIMAMPIRO,PINDAL,PIÑAS,PLAYAS,PORTOVELO,PORTOVIEJO,PUCARÁ,PUEBLOVIEJO,PUERTO LÓPEZ,PUERTO QUITO,PUJILÍ,PUTUMAYO,PUYANGO,QUERO,QUEVEDO,QUIJOS,QUILANGA,QUININDÉ,QUINSALOMA,QUITO,RIOBAMBA,RIOVERDE,ROCAFUERTE,RUMIÑAHUI,SALCEDO,SALINAS,SALITRE,SAMBORONDÓN,SAN FERNANDO,SAN JACINTO DE YAGUACHI,SAN JUAN BOSCO,SAN LORENZO,SAN MIGUEL,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE URCUQUÍ,SAN PEDRO DE HUACA,SAN PEDRO DE PELILEO,SAN VICENTE,SANTA ANA,SANTA CLARA,SANTA CRUZ,SANTA ELENA,SANTA ISABEL,SANTA LUCÍA,SANTA ROSA,SANTIAGO,SANTIAGO DE PÍLLARO,SANTO DOMINGO,SAQUISILÍ,SARAGURO,SEVILLA DE ORO,SHUSHUFINDI,SIGCHOS,SIMÓN BOLÍVAR,SOZORANGA,SUCRE,SUCUMBÍOS,SUCÚA,SUSCAL,SÍGSIG,TAISHA,TENA,TISALEO,TIWINTZA,TOSAGUA,TULCÁN,URDANETA,VALENCIA,VENTANAS,VINCES,YANTZAZA,ZAMORA,ZAPOTILLO,ZARUMA
2014-01-01,1,0,2,2,8,0,2,1,8,5,0,0,8,19,3,2,4,0,2,4,11,2,1,7,1,0,1,3,1,0,0,0,0,0,0,0,2,0,5,0,2,1,0,2,5,26,0,1,7,20,2,0,6,0,10,9,0,2,0,18,9,48,0,0,1,10,4,1,2,3,0,0,0,0,1,5,242,0,12,9,3,2,1,0,0,7,12,4,5,15,31,1,0,6,2,0,6,1,1,5,27,31,6,1,6,1,3,0,2,1,0,2,4,0,0,16,4,2,0,5,0,0,1,2,1,0,0,0,0,0,10,4,1,0,15,5,4,3,0,3,3,0,0,3,2,11,0,4,1,2,0,6,0,0,53,3,1,22,1,145,10,12,0,4,3,3,8,6,0,5,0,32,1,1,1,1,1,2,6,0,0,3,2,3,7,1,1,46,0,0,1,5,2,6,0,0,0,2,1,0,0,5,0,0,2,6,6,8,6,18,0,1,0,0
2015-01-01,2,0,6,4,2,1,0,0,3,3,1,2,4,11,1,0,3,1,1,4,12,0,0,12,0,2,0,1,1,0,0,1,1,0,0,0,0,0,12,0,0,1,1,0,2,15,1,0,5,13,0,0,12,0,9,13,0,0,0,26,9,34,2,2,2,8,1,0,0,0,0,1,0,2,3,2,221,0,7,14,1,1,1,0,0,1,3,7,6,8,23,0,1,5,0,0,7,0,2,2,23,22,5,1,2,0,2,0,4,7,0,2,3,0,0,15,2,1,0,4,0,1,1,6,2,2,2,0,1,0,7,5,0,0,6,1,3,1,0,3,0,1,0,3,2,11,0,5,1,1,0,2,0,0,19,1,0,16,1,124,6,9,2,1,5,4,1,3,0,6,0,19,3,2,2,0,1,2,1,2,0,4,0,2,5,1,3,28,1,0,0,5,0,4,0,1,0,0,0,0,1,5,1,0,3,6,4,2,5,10,0,2,0,2
2016-01-01,1,1,2,3,9,0,0,1,1,8,1,4,3,14,1,0,5,4,1,5,4,2,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,1,21,1,2,5,13,0,2,14,0,6,9,0,0,0,16,4,28,0,0,1,4,0,0,0,0,1,1,1,1,0,2,195,0,7,9,0,0,1,3,0,4,3,4,3,1,17,0,0,9,1,1,6,1,1,1,22,13,6,0,9,0,3,0,2,6,4,2,1,1,1,9,3,1,0,4,1,0,1,3,1,1,0,3,1,1,11,2,0,1,13,4,1,1,0,9,1,0,1,2,0,11,0,5,0,3,1,1,0,0,21,0,0,13,1,112,3,9,0,4,5,9,7,4,0,4,0,11,3,2,0,0,1,2,1,0,0,4,0,0,8,0,3,21,0,2,0,7,1,3,1,4,1,2,0,3,0,3,0,0,0,0,4,4,7,5,0,0,0,2
2017-01-01,3,0,0,3,11,0,1,1,1,3,0,4,6,12,3,0,3,1,0,2,6,0,0,6,1,1,0,4,1,0,1,0,0,0,0,1,0,0,11,0,0,2,2,0,3,31,0,1,13,11,1,1,18,1,4,6,0,1,0,12,3,20,0,2,5,4,1,0,0,0,0,1,0,0,1,4,180,0,8,10,0,0,1,0,1,6,3,5,4,8,26,1,0,11,0,0,5,3,5,1,25,20,2,0,10,2,7,0,1,6,0,1,4,2,0,15,3,3,0,1,0,0,0,5,1,0,2,0,4,2,12,1,0,0,8,0,2,3,0,1,0,0,0,1,0,23,1,5,1,3,0,4,2,0,15,0,1,12,0,110,6,9,1,4,2,4,1,3,0,10,1,12,1,1,0,0,0,1,3,0,1,4,1,3,3,1,2,25,0,1,0,5,0,1,0,0,0,0,0,2,1,3,0,0,0,3,1,1,11,7,2,0,0,0
2018-01-01,0,0,1,1,7,3,0,1,3,8,0,1,2,27,3,0,6,1,0,1,9,4,1,8,0,2,1,2,0,0,1,1,0,2,0,0,0,0,6,1,0,0,0,0,2,16,1,0,8,27,0,2,14,0,9,8,1,0,0,11,5,28,1,0,0,13,0,2,0,2,0,5,1,2,1,5,168,0,14,8,1,1,2,1,1,5,3,2,2,9,18,0,1,6,0,0,6,0,4,0,16,22,3,1,10,0,4,0,1,5,4,4,5,1,1,6,4,1,0,6,0,1,0,3,2,2,1,0,0,1,7,4,0,1,6,3,1,0,0,3,1,0,0,3,1,12,2,6,2,1,1,6,0,0,19,1,0,15,1,125,6,8,1,2,1,3,3,6,0,8,0,10,0,0,4,0,1,0,2,0,0,3,0,9,5,0,2,31,1,1,0,6,0,2,0,4,0,1,0,1,1,0,0,0,1,3,4,8,5,5,2,2,0,0
2019-01-01,4,0,1,2,14,2,1,0,5,6,0,0,5,17,3,0,4,1,0,3,11,1,1,3,0,1,0,4,1,0,0,0,0,0,2,1,2,0,7,0,0,2,2,2,2,16,0,1,10,28,0,3,19,0,9,13,0,0,2,14,4,24,2,0,8,4,0,0,0,0,0,1,1,0,1,1,269,0,17,11,3,1,4,2,0,3,4,1,2,11,22,0,0,20,0,1,4,1,1,1,31,13,3,1,25,0,2,0,1,7,0,5,3,1,0,8,4,1,3,3,0,2,0,4,3,0,0,0,1,1,10,7,0,0,4,5,3,3,0,3,2,0,1,1,1,23,0,14,0,3,0,3,0,0,27,0,0,11,2,135,9,1,1,3,4,2,3,1,1,6,0,18,1,3,6,0,2,3,2,0,0,5,2,3,5,0,0,25,0,2,0,3,1,3,0,3,0,1,0,0,2,2,0,0,3,3,4,7,9,8,1,0,0,2
2020-01-01,0,0,2,1,15,3,0,1,6,7,0,0,3,21,7,0,7,0,1,5,8,2,0,5,0,1,0,3,1,0,0,0,0,0,0,2,0,0,17,0,0,2,1,1,2,23,1,3,14,49,0,0,12,0,20,7,1,0,1,8,7,34,0,0,2,1,0,1,0,0,0,0,1,0,1,5,329,1,16,8,1,1,1,4,0,6,4,4,3,24,16,0,0,17,0,0,6,3,0,1,42,30,2,1,29,2,1,0,0,9,1,4,3,0,0,25,1,4,3,8,0,3,0,3,4,0,1,0,0,0,9,1,0,0,14,2,4,0,0,2,1,0,1,3,4,12,0,13,0,1,3,3,1,0,38,0,0,13,2,144,8,4,0,4,4,6,0,6,0,6,0,12,3,1,0,0,1,4,3,0,1,5,2,2,10,0,2,30,1,0,1,8,0,4,0,1,2,4,0,0,0,2,0,0,1,4,3,1,11,6,0,1,1,0
2021-01-01,3,0,0,4,16,2,0,1,5,18,0,5,5,51,8,2,13,1,0,7,7,0,0,7,1,2,1,4,3,0,0,0,1,1,0,3,0,0,23,0,1,2,0,3,4,48,2,0,29,75,0,0,21,0,27,17,0,1,0,20,4,84,0,0,3,8,0,0,1,1,0,1,0,0,3,4,865,0,22,11,2,1,4,2,0,5,1,21,3,61,28,1,0,38,0,0,4,2,2,0,66,43,6,0,49,2,8,1,2,6,0,4,4,1,3,40,5,2,5,4,0,2,0,0,4,0,1,1,0,0,22,7,0,1,21,6,2,0,0,2,0,0,2,2,2,27,0,19,4,4,2,2,0,0,74,1,0,17,3,142,8,4,1,1,1,6,3,10,0,15,0,20,0,1,1,0,2,1,10,1,0,19,1,5,4,0,1,66,2,1,0,6,1,2,0,14,0,0,0,0,1,2,0,0,1,4,7,0,15,6,0,2,0,3
2022-01-01,3,0,0,11,37,1,1,4,19,15,0,10,11,52,9,0,61,3,2,32,33,2,1,23,1,3,4,4,3,1,0,0,0,0,0,0,1,0,73,0,0,10,0,1,6,47,4,1,46,121,1,0,34,0,44,27,0,0,0,37,13,383,0,0,5,17,2,0,1,0,0,2,1,0,1,8,1445,0,47,8,3,3,6,8,9,15,7,60,6,110,60,0,0,21,2,0,17,1,0,1,131,90,3,1,101,0,11,0,2,25,5,4,3,1,0,40,12,7,6,1,0,9,0,3,12,0,1,0,2,0,39,6,0,1,70,9,4,0,0,3,0,0,2,10,5,96,1,33,11,6,0,7,0,1,177,0,0,43,15,204,10,17,1,4,2,35,8,19,0,43,0,54,2,0,0,0,1,9,7,0,0,23,0,1,24,0,1,199,0,0,0,10,0,6,0,19,0,1,0,0,0,13,1,1,9,6,10,8,37,26,2,1,2,0
2023-01-01,7,0,1,24,20,2,0,2,44,38,1,11,34,172,44,0,45,4,1,11,92,2,0,28,0,8,6,8,2,0,1,2,1,0,0,5,0,1,24,0,0,8,0,7,4,24,7,1,135,461,0,0,41,0,27,38,0,2,1,42,12,315,0,0,3,23,5,0,1,1,0,1,2,1,2,6,2382,1,113,19,3,4,15,13,4,42,28,131,7,97,70,1,6,13,2,0,21,9,7,3,243,262,4,4,153,0,42,0,9,49,0,13,7,0,0,143,35,21,4,6,1,18,0,17,16,1,4,0,4,5,76,26,0,0,116,31,4,2,0,2,0,1,2,80,2,260,2,121,27,1,3,0,0,0,279,0,0,65,17,294,14,11,12,12,8,56,16,37,0,98,1,30,5,1,1,0,3,24,14,0,0,66,1,11,48,1,4,118,2,1,0,21,0,12,0,45,0,6,0,2,3,13,1,0,31,13,41,46,91,49,3,0,2,0
